Rk,Player,Pos,Age,Tm,MP,FG,FGA,FG%,TRB,AST,STL,BLK,PTS,STARS
1,James Harden,SG,30,HOU,36.5,9.9,22.3,0.444,6.6,7.5,1.8,0.9,34.3,5
2,Bradley Beal,SG,26,WAS,36,10.4,22.9,0.455,4.2,6.1,1.2,0.4,30.5,5
3,Damian Lillard,PG,29,POR,37.5,9.5,20.4,0.463,4.3,8,1.1,0.3,30,5
4,Trae Young,PG,21,ATL,35.3,9.1,20.8,0.437,4.3,9.3,1.1,0.1,29.6,5
5,Giannis Antetokounmpo,PF,25,MIL,30.4,10.9,19.7,0.553,13.6,5.6,1,1,29.5,5
6,Luka Doncic,PG,20,DAL,33.6,9.5,20.6,0.463,9.4,8.8,1,0.2,28.8,5
7,Russell Westbrook,PG,31,HOU,35.9,10.6,22.5,0.472,7.9,7,1.6,0.4,27.2,5
8,Kawhi Leonard,SF,28,LAC,32.4,9.3,19.9,0.47,7.1,4.9,1.8,0.6,27.1,5
9,Devin Booker,SG,23,PHO,35.9,9,18.3,0.489,4.2,6.5,0.7,0.3,26.6,5
10,Anthony Davis,PF,26,LAL,34.4,8.9,17.7,0.503,9.3,3.2,1.5,2.3,26.1,5
11,LeBron James,PG,35,LAL,34.6,9.6,19.4,0.493,7.8,10.2,1.2,0.5,25.3,5
12,Donovan Mitchell,SG,23,UTA,34.3,8.7,19.4,0.449,4.4,4.3,1,0.2,24,5
13,Jayson Tatum,PF,21,BOS,34.3,8.4,18.6,0.45,7,3,1.4,0.9,23.4,5
14,Kemba Walker,PG,29,BOS,31.1,6.8,15.9,0.425,3.9,4.8,0.9,0.5,20.4,5
15,Kristaps Porzingis,PF,24,DAL,31.8,7,16.4,0.427,9.5,1.8,0.7,2,20.4,5
16,Nikola Jokic,C,24,DEN,32,7.7,14.7,0.528,9.7,7,1.2,0.6,19.9,5
17,Jimmy Butler,SF,30,MIA,33.8,5.9,13.1,0.455,6.7,6,1.8,0.6,19.9,5
18,Rudy Gobert,C,27,UTA,34.3,5.7,8.2,0.693,13.5,1.5,0.8,2,15.1,5
19,Pascal Siakam,PF,25,TOR,35.2,8.3,18.4,0.453,7.3,3.5,1,0.9,22.9,4
20,CJ McCollum,SG,28,POR,36.5,8.7,19.4,0.451,4.2,4.4,0.8,0.6,22.2,4
21,Zach LaVine,SG,24,CHI,34.8,9,20,0.45,4.8,4.2,1.5,0.5,25.5,4
22,Brandon Ingram,PF,22,NOP,33.9,8.2,17.7,0.463,6.1,4.2,1,0.6,23.8,4
23,DeMar DeRozan,SF,30,SAS,34.1,8.2,15.4,0.531,5.5,5.6,1,0.3,22.1,4
24,Andrew Wiggins,SF,24,GSW,34.4,8.1,18.1,0.447,5.1,3.7,0.8,1,21.8,4
25,De'Aaron Fox,PG,22,SAC,32,7.7,16,0.48,3.8,6.8,1.5,0.5,21.1,4
26,Khris Middleton,SF,28,MIL,29.9,7.6,15.3,0.497,6.2,4.3,0.9,0.1,20.9,4
27,Collin Sexton,SG,21,CLE,33,7.9,16.7,0.472,3.1,3,1,0.1,20.8,4
28,Spencer Dinwiddie,SG,26,BRK,31.2,6.6,16,0.415,3.5,6.8,0.6,0.3,20.6,4
29,Jaylen Brown,SF,23,BOS,33.9,7.5,15.6,0.481,6.4,2.1,1.1,0.4,20.3,4
30,T.J. Warren,SF,26,IND,32.9,8,14.9,0.536,4.2,1.5,1.2,0.5,19.8,4
